Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
17	2.823529411764706	48	32	16	0
17	2.764705882352941	47	32	15	0
18	2.6666666666666665	48	33	14	1
16	2.875	46	31	15	0
17	2.8823529411764706	49	36	9	4
17	2.8823529411764706	49	31	18	0
15	2.8	42	27	15	0
17	2.764705882352941	47	31	16	0
17	2.8823529411764706	49	34	14	1
16	3.0	48	35	13	0
16	3.0	48	31	17	0
16	2.75	44	29	15	0
18	2.8333333333333335	51	32	19	0
18	2.9444444444444446	53	34	18	1
18	2.7777777777777777	50	34	16	0
19	2.8421052631578947	54	33	21	0
18	2.888888888888889	52	30	22	0
19	2.736842105263158	52	38	13	1
17	2.7058823529411766	46	33	11	2
17	2.8823529411764706	49	33	11	5
19	2.9473684210526314	56	40	16	0
17	2.588235294117647	44	31	13	0
18	3.0	54	38	16	0
19	2.8421052631578947	54	34	20	0
18	2.8333333333333335	51	31	20	0
17	3.0	51	33	17	1
18	3.0555555555555554	55	34	21	0
17	2.8823529411764706	49	35	13	1
17	2.9411764705882355	50	38	12	0
17	3.0588235294117645	52	33	19	0
18	2.888888888888889	52	32	20	0
17	3.0	51	35	15	1
17	2.764705882352941	47	35	9	3
17	2.823529411764706	48	30	15	3
18	2.9444444444444446	53	35	18	0
16	2.75	44	29	15	0
19	2.8421052631578947	54	39	15	0
16	2.8125	45	29	16	0
18	2.9444444444444446	53	33	20	0
19	3.0	57	39	18	0
16	3.0625	49	33	16	0
19	2.789473684210526	53	34	19	0
19	2.789473684210526	53	39	13	1
19	3.0	57	40	17	0
16	2.9375	47	30	17	0
18	2.7777777777777777	50	34	16	0
19	2.736842105263158	52	34	18	0
16	2.9375	47	27	20	0
18	2.7777777777777777	50	36	13	1
17	2.9411764705882355	50	31	19	0
18	2.6666666666666665	48	35	12	1
18	2.7777777777777777	50	35	15	0
17	3.0	51	33	17	1
16	2.6875	43	31	11	1
18	2.9444444444444446	53	35	17	1
17	2.823529411764706	48	31	17	0
18	2.7777777777777777	50	34	16	0
18	2.7777777777777777	50	35	15	0
17	2.9411764705882355	50	32	18	0
18	3.0	54	35	19	0
18	2.9444444444444446	53	39	13	1
17	2.7058823529411766	46	29	17	0
18	2.8333333333333335	51	35	16	0
18	2.888888888888889	52	37	15	0
18	2.8333333333333335	51	36	14	1
17	3.0588235294117645	52	36	16	0
18	2.888888888888889	52	34	13	5
17	3.0	51	31	20	0
20	2.7	54	38	16	0
17	2.764705882352941	47	34	13	0
16	2.75	44	32	12	0
18	2.9444444444444446	53	40	13	0
18	2.8333333333333335	51	38	13	0
16	2.875	46	30	16	0
20	2.75	55	38	16	1
17	3.0588235294117645	52	33	18	1
18	2.7777777777777777	50	36	14	0
19	2.789473684210526	53	39	12	2
17	2.823529411764706	48	32	16	0
14	2.857142857142857	40	28	11	1
18	2.888888888888889	52	32	20	0
17	2.8823529411764706	49	37	11	1
18	2.7222222222222223	49	34	15	0
17	2.764705882352941	47	32	14	1
19	2.6842105263157894	51	37	10	4
16	2.8125	45	30	15	0
18	3.0555555555555554	55	40	11	4
17	2.9411764705882355	50	34	15	1
19	2.8421052631578947	54	38	15	1
18	2.7777777777777777	50	36	14	0
17	2.9411764705882355	50	31	19	0
16	2.9375	47	37	10	0
18	2.888888888888889	52	38	13	1
20	2.75	55	41	13	1
17	2.8823529411764706	49	33	14	2
17	2.7058823529411766	46	33	11	2
19	2.8421052631578947	54	36	16	2
15	2.8666666666666667	43	29	14	0
18	2.7777777777777777	50	33	16	1
18	2.7777777777777777	50	33	17	0
18	3.0555555555555554	55	40	14	1
16	2.8125	45	31	14	0
18	2.888888888888889	52	37	14	1
16	3.0625	49	35	13	1
19	2.8947368421052633	55	40	14	1
18	2.7777777777777777	50	36	14	0
16	2.75	44	31	11	2
15	3.0	45	31	13	1
16	2.8125	45	28	8	9
17	2.764705882352941	47	30	17	0
18	2.7222222222222223	49	31	17	1
19	2.789473684210526	53	36	14	3
17	3.0	51	33	16	2
18	2.888888888888889	52	35	17	0
17	3.0	51	33	18	0
20	2.75	55	42	12	1
15	2.7333333333333334	41	25	16	0
17	2.7058823529411766	46	30	16	0
18	2.888888888888889	52	36	15	1
17	3.0	51	36	15	0
17	3.0	51	34	17	0
18	2.7777777777777777	50	33	16	1
17	2.9411764705882355	50	30	20	0
18	2.7222222222222223	49	36	13	0
16	2.8125	45	30	14	1
16	2.6875	43	29	14	0
17	3.1176470588235294	53	36	16	1
17	2.8823529411764706	49	34	15	0
18	3.0555555555555554	55	35	19	1
18	2.8333333333333335	51	32	19	0
17	3.0	51	35	16	0
18	2.888888888888889	52	35	17	0
17	2.8823529411764706	49	33	16	0
16	2.8125	45	32	13	0
19	2.736842105263158	52	39	11	2
18	2.8333333333333335	51	34	17	0
17	2.8823529411764706	49	36	10	3
19	2.8421052631578947	54	35	18	1
17	2.823529411764706	48	35	12	1
17	2.8823529411764706	49	37	10	2
16	2.8125	45	28	17	0
19	2.8947368421052633	55	37	18	0
18	2.8333333333333335	51	35	15	1
17	2.9411764705882355	50	32	18	0
17	2.7058823529411766	46	32	14	0
18	2.9444444444444446	53	36	16	1
18	2.7777777777777777	50	32	17	1
19	2.8421052631578947	54	34	20	0
16	2.9375	47	32	15	0
18	2.7777777777777777	50	34	16	0
17	2.9411764705882355	50	36	12	2
16	2.875	46	29	17	0
18	2.7222222222222223	49	33	16	0
18	2.9444444444444446	53	36	17	0
18	2.8333333333333335	51	34	17	0
18	2.8333333333333335	51	36	15	0
20	2.9	58	35	23	0
17	2.9411764705882355	50	34	16	0
19	2.736842105263158	52	36	16	0
18	2.8333333333333335	51	39	12	0
17	2.8823529411764706	49	38	10	1
18	2.8333333333333335	51	35	16	0
18	2.9444444444444446	53	35	18	0
18	2.611111111111111	47	30	17	0
17	2.8823529411764706	49	35	13	1
17	2.823529411764706	48	33	15	0
18	2.888888888888889	52	35	16	1
19	2.789473684210526	53	36	17	0
17	2.9411764705882355	50	37	12	1
16	3.0	48	30	18	0
18	2.888888888888889	52	35	17	0
19	2.8421052631578947	54	35	19	0
16	3.0	48	30	18	0
19	2.9473684210526314	56	38	15	3
17	3.0588235294117645	52	37	14	1
17	2.8823529411764706	49	31	18	0
16	2.875	46	30	16	0
18	2.888888888888889	52	33	19	0
19	2.9473684210526314	56	37	19	0
16	2.5625	41	28	12	1
18	2.888888888888889	52	34	18	0
18	2.7777777777777777	50	34	14	2
17	2.823529411764706	48	33	14	1
17	2.8823529411764706	49	33	16	0
18	2.888888888888889	52	37	14	1
17	2.8823529411764706	49	35	13	1
18	2.8333333333333335	51	34	17	0
17	2.8823529411764706	49	31	18	0
18	2.7222222222222223	49	34	15	0
18	2.888888888888889	52	36	12	4
19	2.789473684210526	53	34	19	0
17	2.9411764705882355	50	33	17	0
18	2.8333333333333335	51	40	11	0
17	2.8823529411764706	49	32	16	1
17	2.823529411764706	48	33	13	2
16	2.875	46	25	21	0
19	2.789473684210526	53	36	17	0
19	2.8947368421052633	55	37	18	0
17	3.0	51	34	16	1
17	2.764705882352941	47	32	14	1
18	2.9444444444444446	53	35	18	0
19	2.9473684210526314	56	35	20	1
17	2.823529411764706	48	35	13	0
19	2.8947368421052633	55	37	18	0
18	2.888888888888889	52	35	17	0
17	2.823529411764706	48	34	14	0
19	2.8947368421052633	55	39	15	1
15	2.8666666666666667	43	30	13	0
17	2.764705882352941	47	31	16	0
17	3.0588235294117645	52	36	15	1
18	2.7222222222222223	49	34	14	1
18	2.9444444444444446	53	37	15	1
17	2.823529411764706	48	34	14	0
18	2.9444444444444446	53	38	13	2
18	2.8333333333333335	51	35	15	1
19	2.5789473684210527	49	36	12	1
19	3.0	57	41	10	6
18	2.888888888888889	52	36	15	1
18	2.8333333333333335	51	35	16	0
18	3.0555555555555554	55	34	21	0
19	2.8947368421052633	55	33	21	1
17	2.823529411764706	48	32	15	1
18	2.6666666666666665	48	34	14	0
18	2.7777777777777777	50	31	19	0
18	2.9444444444444446	53	33	19	1
18	2.7222222222222223	49	35	13	1
18	2.9444444444444446	53	36	17	0
17	3.0	51	36	14	1
16	2.875	46	32	13	1
16	2.9375	47	28	19	0
16	3.0625	49	31	18	0
17	2.8823529411764706	49	29	20	0
17	2.764705882352941	47	31	16	0
17	2.8823529411764706	49	36	12	1
19	2.8947368421052633	55	41	13	1
19	2.789473684210526	53	35	18	0
19	2.8421052631578947	54	33	21	0
17	2.764705882352941	47	33	11	3
18	2.888888888888889	52	36	16	0
19	2.8947368421052633	55	37	18	0
16	2.9375	47	30	16	1
17	2.8823529411764706	49	34	15	0
17	2.8823529411764706	49	33	16	0
16	3.0	48	30	18	0
16	2.875	46	32	12	2
18	2.9444444444444446	53	37	14	2
16	2.6875	43	29	13	1
18	3.1666666666666665	57	40	16	1
16	2.875	46	33	13	0
17	2.9411764705882355	50	34	16	0
17	3.0	51	37	14	0
18	2.888888888888889	52	38	13	1
17	2.9411764705882355	50	38	12	0
19	2.9473684210526314	56	37	19	0
17	2.8823529411764706	49	33	14	2
17	3.0588235294117645	52	36	15	1
16	2.875	46	28	17	1
16	2.8125	45	30	15	0
15	2.933333333333333	44	28	16	0
18	3.0555555555555554	55	39	16	0
15	2.8666666666666667	43	29	14	0
19	2.8947368421052633	55	33	22	0
15	3.0	45	31	14	0
18	2.8333333333333335	51	32	19	0
16	3.0	48	30	18	0
17	2.9411764705882355	50	33	17	0
16	2.8125	45	31	13	1
17	2.823529411764706	48	34	14	0
16	2.8125	45	33	12	0
17	2.8823529411764706	49	31	18	0
17	2.823529411764706	48	35	12	1
17	2.9411764705882355	50	33	17	0
18	2.8333333333333335	51	38	11	2
17	2.9411764705882355	50	31	18	1
19	2.8947368421052633	55	40	14	1
18	2.888888888888889	52	34	18	0
18	2.888888888888889	52	40	11	1
17	2.9411764705882355	50	33	17	0
18	2.7777777777777777	50	37	11	2
18	3.0555555555555554	55	41	13	1
17	2.823529411764706	48	35	13	0
19	3.0	57	38	19	0
19	2.8421052631578947	54	37	16	1
19	2.8947368421052633	55	37	18	0
17	2.7058823529411766	46	29	17	0
17	2.9411764705882355	50	31	19	0
17	2.8823529411764706	49	32	17	0
17	2.764705882352941	47	34	13	0
17	2.9411764705882355	50	31	19	0
18	2.9444444444444446	53	35	17	1
19	2.789473684210526	53	37	16	0
16	2.8125	45	31	11	3
19	2.6842105263157894	51	33	17	1
16	3.0	48	31	17	0
18	2.9444444444444446	53	32	21	0
18	2.9444444444444446	53	41	8	4
16	2.6875	43	29	12	2
19	2.736842105263158	52	41	10	1
17	3.0	51	37	14	0
15	2.933333333333333	44	31	12	1
15	2.8	42	30	10	2
18	2.7777777777777777	50	34	16	0
18	2.7777777777777777	50	36	14	0
18	3.0	54	38	15	1
16	2.9375	47	33	13	1
18	3.0	54	40	13	1
18	3.0555555555555554	55	36	19	0
16	2.6875	43	28	15	0
18	2.9444444444444446	53	29	24	0
17	2.9411764705882355	50	34	15	1
17	2.8823529411764706	49	34	12	3
19	2.8947368421052633	55	35	20	0
18	2.888888888888889	52	36	15	1
19	2.8947368421052633	55	38	17	0
18	3.0	54	33	20	1
18	2.7222222222222223	49	34	13	2
17	2.764705882352941	47	29	18	0
19	2.789473684210526	53	38	14	1
16	3.0	48	29	19	0
16	2.75	44	31	12	1
17	2.823529411764706	48	31	17	0
17	2.8823529411764706	49	30	19	0
17	3.0588235294117645	52	31	19	2
19	3.0	57	38	18	1
15	3.0	45	30	15	0
15	2.8	42	28	14	0
17	2.9411764705882355	50	34	16	0
17	2.7058823529411766	46	31	14	1
16	3.0	48	32	16	0
18	2.7222222222222223	49	31	18	0
19	2.8947368421052633	55	34	21	0
17	2.764705882352941	47	31	16	0
18	2.9444444444444446	53	34	19	0
17	2.9411764705882355	50	34	16	0
17	2.8823529411764706	49	30	19	0
18	2.8333333333333335	51	35	16	0
18	2.8333333333333335	51	30	21	0
18	2.9444444444444446	53	35	16	2
16	3.0	48	33	15	0
17	3.0	51	32	17	2
18	2.888888888888889	52	30	22	0
18	2.7222222222222223	49	30	19	0
19	2.736842105263158	52	36	14	2
16	2.9375	47	31	16	0
18	3.111111111111111	56	39	17	0
17	3.0	51	34	13	4
17	2.9411764705882355	50	36	14	0
17	2.823529411764706	48	31	17	0
17	2.823529411764706	48	32	16	0
